Survey Year,UNITID,Institution Name,State CD,Classification Name,Classification Other,Sanction Code,Sanction Name,Male Undergraduates,Female Undergraduates,Total Undergraduates,Men's Team Recruiting Expenses,Women's Team Recruiting Expenses,Coed Team Recruiting Expenses
2003,168528,Adrian College,MI,NCAA Division III with football,,1,NCAA,865,743,1608,10491,6852,
2003,168546,Albion College,MI,NCAA Division III with football,,1,NCAA,677,677,1354,8690,4834,
2003,210571,Albright College,PA,NCAA Division III with football,,1,NCAA,880,1339,2219,9222,3598,
2003,188641,Alfred University,NY,NCAA Division III with football,,1,NCAA,870,860,1730,26950,6200,
2003,210669,Allegheny College,PA,NCAA Division III with football,,1,NCAA,873,1009,1882,44101,26366,
2003,168591,Alma College,MI,NCAA Division III with football,,1,NCAA,571,758,1329,10851,6565,
2003,164465,Amherst College,MA,NCAA Division III with football,,1,NCAA,891,904,1795,37796,8916,
2003,150066,Anderson University,IN,NCAA Division III with football,,1,NCAA,639,970,1609,14519,7860,
2003,164492,Anna Maria College,MA,NCAA Division III with football,,1,NCAA,305,506,811,3550,3550,
2003,173045,Augsburg College,MN,NCAA Division III with football,,1,NCAA,985,979,1964,12768,6547,
2003,143084,Augustana College,IL,NCAA Division III with football,,1,NCAA,1030,1413,2443,52924,3817,
2003,143118,Aurora University,IL,NCAA Division III with football,,1,NCAA,1174,1958,3132,13509,6119,
2003,222983,Austin College,TX,NCAA Division III with football,,1,NCAA,585,640,1225,22342,8915,
2003,231420,Averett University,VA,NCAA Division III with football,,1,NCAA,422,426,848,30250,7850,
2003,201195,Baldwin Wallace University,OH,NCAA Division III with football,,1,NCAA,1386,1634,3020,16726,10122,
2003,160977,Bates College,ME,NCAA Division III with football,,1,NCAA,884,908,1792,8100,3249,
2003,164720,Becker College,MA,NCAA Division III with football,,1,NCAA,734,847,1581,705,471,
2003,175421,Belhaven University,MS,NCAA Division III with football,,1,NCAA,536,806,1342,12698,8875,
2003,238333,Beloit College,WI,NCAA Division III with football,,1,NCAA,573,693,1266,16235,16235,
2003,145619,Benedictine University,IL,NCAA Division III with football,,1,NCAA,1213,1520,2733,3527,3096,
2003,139144,Berry College,GA,NCAA Division III with football,,1,NCAA,790,1284,2074,14000,14000,
2003,237181,Bethany College,WV,NCAA Division III with football,,1,NCAA,416,280,696,9705,5389,
2003,173160,Bethel University,MN,NCAA Division III with football,,1,NCAA,923,1449,2372,24324,7803,
2003,100937,Birmingham Southern College,AL,NCAA Division III with football,,1,NCAA,673,664,1337,28415,43608,
2003,201371,Bluffton University,OH,NCAA Division III with football,,1,NCAA,379,363,742,0,0,
2003,161004,Bowdoin College,ME,NCAA Division III with football,,1,NCAA,902,891,1793,16673,7162,
2003,231581,Bridgewater College,VA,NCAA Division III with football,,1,NCAA,857,960,1817,26489,9036,
2003,153001,Buena Vista University,IA,NCAA Division III with football,,1,NCAA,613,1045,1658,42609,15467,
